FIPS,State,County,obesity_rate,median_household_income,physical_inactivity_rate,population_over_65,uninsured_adults_pct,rural_pct,children_in_poverty_pct,pcp_rate,insured_coverage_pct,health_insurance_coverage,urban_rural,poverty_level,diabetes_rate
51027.0,Virginia,Buchanan,44.6,43446.0,32.1,24.697438047,11.145302433,100.0,26.4,25.23214,88.854697567,Low,Rural,High Poverty,13.0
51029.0,Virginia,Buckingham,41.3,57701.0,28.4,21.015431735,11.557907113,100.0,22.6,11.8015,88.442092887,Low,Rural,High Poverty,14.0
51031.0,Virginia,Campbell,42.5,69570.0,24.6,21.885290393,8.4879650568,56.855070382,17.8,14.41649,91.5120349432,Medium,Rural,Medium Poverty,11.0
51033.0,Virginia,Caroline,41.6,80562.0,23.9,17.380514706,9.1618037135,100.0,12.0,9.57488,90.8381962865,Medium,Rural,Low Poverty,12.0
51035.0,Virginia,Carroll,38.9,53694.0,27.0,26.741680632,11.213879821,97.626479163,22.2,92.9496,88.786120179,Low,Rural,High Poverty,12.0
51036.0,Virginia,Charles City,41.9,73068.0,25.8,27.367624811,12.4703401,100.0,17.5,15.165299999999998,87.5296599,Low,Rural,Medium Poverty,14.0
51037.0,Virginia,Charlotte,40.7,50878.0,29.7,22.882851094,9.8871403592,100.0,32.2,52.410900000000005,90.1128596408,Low,Rural,High Poverty,14.0
51041.0,Virginia,Chesterfield,37.7,99401.0,19.7,16.524606904,8.3545793293,8.0310411798,8.5,80.66083,91.6454206707,Medium,Urban,Low Poverty,11.0
51043.0,Virginia,Clarke,34.1,101205.0,20.2,23.619552567,8.6902334013,100.0,7.9,33.59989,91.3097665987,Medium,Rural,Low Poverty,9.0
51045.0,Virginia,Craig,36.2,61531.0,25.1,26.120173446,8.6002785515,100.0,19.0,41.10997,91.3997214485,Medium,Rural,Medium Poverty,10.0
51047.0,Virginia,Culpeper,38.2,90465.0,24.2,17.243010205,10.385390265,57.065382859,11.9,33.5846,89.614609735,Low,Rural,Low Poverty,11.0
51049.0,Virginia,Cumberland,38.6,55713.0,24.8,23.557400283,8.6178861789,93.302325581,22.0,30.988530000000004,91.3821138211,Medium,Rural,High Poverty,12.0
51051.0,Virginia,Dickenson,42.9,48157.0,27.7,25.109970674,9.7060008055,100.0,23.2,21.75963,90.2939991945,Low,Rural,High Poverty,13.0
51053.0,Virginia,Dinwiddie,38.2,83334.0,24.9,19.630949441,8.1474412501,71.664221562,17.2,14.33075,91.8525587499,High,Rural,Medium Poverty,12.0
51057.0,Virginia,Essex,39.0,62679.0,29.1,24.966974901,11.008729389,100.0,20.8,37.83221,88.991270611,Low,Rural,Medium Poverty,14.0
51059.0,Virginia,Fairfax,27.0,141353.0,16.6,15.575656944,8.9590345655,1.5417596489,7.3,111.34314,91.0409654345,Medium,Urban,Low Poverty,10.0
51061.0,Virginia,Fauquier,33.4,111254.0,17.2,17.880662542,7.9302763819,57.456284602,6.6,44.70636,92.0697236181,High,Rural,Low Poverty,10.0
51063.0,Virginia,Floyd,36.8,61164.0,20.5,25.007972447,8.6702605571,100.0,15.2,32.12129,91.3297394429,Medium,Rural,Medium Poverty,10.0
51065.0,Virginia,Fluvanna,38.7,86462.0,22.2,22.022345584,6.7802035982,63.943630959,9.3,21.64268,93.2197964018,High,Rural,Low Poverty,10.0
51067.0,Virginia,Franklin,33.5,63692.0,20.7,25.321787971,8.7547741341,90.06736788,15.9,34.58444,91.2452258659,Medium,Rural,Medium Poverty,11.0
51069.0,Virginia,Frederick,37.6,92108.0,22.6,19.331416547,9.661529546,39.409750708,8.3,44.81578,90.338470454,Medium,Urban,Low Poverty,10.0
51071.0,Virginia,Giles,36.9,63384.0,24.0,22.203317737,7.9804390802,100.0,15.0,48.30335,92.0195609198,High,Rural,Medium Poverty,11.0
51073.0,Virginia,Gloucester,36.6,79016.0,20.6,21.856354695,8.817396485,72.571103821,11.0,46.07233,91.182603515,Medium,Rural,Low Poverty,10.0
51075.0,Virginia,Goochland,31.7,122002.0,16.2,26.308048682,4.1888752221,92.728596271,8.2,70.62147,95.8111247779,High,Rural,Low Poverty,9.0
51077.0,Virginia,Grayson,42.4,42665.0,28.7,26.274124959,8.2377866401,99.889128025,23.0,13.02168,91.7622133599,High,Rural,High Poverty,13.0
51079.0,Virginia,Greene,36.8,83927.0,22.5,19.45918032,9.783500082,100.0,11.5,23.84586,90.216499918,Low,Rural,Low Poverty,10.0
51081.0,Virginia,Greensville,46.2,53908.0,28.8,17.030450013,6.9316081331,87.779826179,26.9,34.97421,93.0683918669,High,Rural,High Poverty,16.0
51083.0,Virginia,Halifax,43.1,50813.0,26.6,26.408829864,10.193818161,78.211157486,27.3,38.53222,89.806181839,Low,Rural,High Poverty,14.0
51085.0,Virginia,Hanover,38.1,111485.0,20.8,19.723516838,6.172276445,37.007064985,5.8,72.57869,93.827723555,High,Urban,Low Poverty,9.0
51087.0,Virginia,Henrico,35.1,85877.0,19.9,17.531664476,7.9284900708,3.6942004671,12.3,104.93054,92.0715099292,High,Urban,Low Poverty,11.0
51089.0,Virginia,Henry,43.4,51959.0,30.5,25.168001288,9.7559209097,65.064379367,24.9,45.77297,90.2440790903,Low,Rural,High Poverty,13.0
